keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
Feb-02,200-1902,2,2,2,USA,200,UKG,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,184,184,7,7,0,49,49,0,0,0,0,0,0,39722,93419,111,489,15187,4988,300106,188800,79163,41893,15258,13932,0.2076682,0.16125357,0.425202582,0.226993865,3.044707298,1.589544492,1.889647435,1.095176572,1.287836294,0.04641463
Feb-03,200-1903,2,2,2,USA,200,UKG,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,2,25,209,7,7,0,49,49,0,0,0,0,0,0,43814,66400,106,416,14768,5115,356268,189999,80632,42247,15812,14098,0.21049646,0.14297678,0.659849398,0.254807692,2.887194526,1.875104606,1.908585225,1.121577529,1.472242276,0.06751968
200-1902,Feb-02,2,2,200,UKG,2,USA,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,1,184,184,7,0,7,49,0,49,0,0,0,0,0,93419,39722,489,111,4988,15187,188800,300106,41893,79163,13932,15258,0.16125357,0.2076682,2.35182015,4.405405405,0.328438796,0.629111047,0.529199247,0.91309477,0.776496209,0.04641463
200-1903,Feb-03,2,2,200,UKG,2,USA,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,2,25,209,7,0,7,49,0,49,0,0,0,0,0,66400,43814,416,106,5115,14768,189999,356268,42247,80632,14098,15812,0.14297678,0.21049646,1.51549733,3.924528302,0.346356988,0.53330358,0.523948308,0.891601315,0.679236031,0.06751968
300-1913,345-1913,3,3,300,AUH,345,YUG,1913,2,5,1913,25,10,1913,4,3,0,10,3,0,1,1,1,1,2,0,10,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,177,177,8,8,0,20,20,0,0,0,0,0,0,37513,1194,358,32,2611,0,37670,198,52166,3003,4696,138,0.044727746,0.001776259,31.41792295,11.1875,,190.2525253,17.37129537,34.02898551,25.18087513,0.042951487
345-1913,300-1913,3,3,345,YUG,300,AUH,1913,2,5,1913,25,10,1913,3,3,0,10,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,10,3,1,3,1,3,1,0,1,177,177,8,0,8,20,0,20,0,0,0,0,0,1194,37513,32,358,0,2611,198,37670,3003,52166,138,4696,0.001776259,0.044727746,0.031828966,0.089385475,0,0.005256172,0.057566231,0.029386712,0.039712679,0.042951487
200-1946,339-1946,4,4,200,UKG,339,ALB,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,0,0,0,2,8,3,1,1,0,0,0,19,4,1,3,1,3,1,0,1,183,183,16,7,16,65,49,65,0,0,0,0,0,17753616,11946,2053,60,12899,0,214896,201,49217,1138,18754,0,0.11617274,0.000792921,1486.155701,34.21666667,,1069.134328,43.2486819,,146.5124207,0.115379819
339-1946,200-1946,4,4,339,ALB,200,UKG,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,2,8,3,1,1,3,1,3,0,1,183,183,16,16,7,65,65,49,0,0,0,0,0,11946,17753616,60,2053,0,12899,201,214896,1138,49217,0,18754,0.000792921,0.11617274,0.000672877,0.029225524,0,0.000935336,0.023122092,0,0.00682536,0.115379819
200-1951,651-1951,7,7,200,UKG,651,EGY,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,1,0,0,0,18,4,1,0,1,2,0,18,4,1,1,3,1,3,0,1,80,80,17,17,17,75,75,75,0,0,0,0,0,3215782,94448,826,77,15889,0,211603,4065,50562,20943,19176,4314,0.058534522,0.00537012,34.04817466,10.72727273,,52.05485855,2.414267297,4.445062587,10.90004066,0.053164402
200-1952,651-1952,7,7,200,UKG,651,EGY,1952,13,10,1951,26,1,1952,1,3,2,18,4,1,1,1,1,0,0,1,18,4,1,0,1,2,2,18,4,1,1,3,1,3,0,2,27,107,17,17,17,75,75,75,0,0,0,0,0,4340931,100172,872,81,16681,0,214654,4088,50723,21437,19098,4498,0.057508342,0.005100538,43.33477419,10.7654321,,52.50831703,2.366142651,4.245887061,11.27495698,0.052407804
